TYPE,KEYWORD
Agriculture,agriculture
Agriculture,irrigation
Agriculture,crops
Agriculture,corn
Agriculture,maize
Agriculture,wheat
Agriculture,irrigate
Agriculture,drought
Agriculture,fertilizer
Agriculture,fertilize
Agriculture,farm
Agriculture,farming
Agriculture,plant
Agriculture,pesticide
Agriculture,tractor
Agriculture,organic
Agriculture,grain
Agriculture,cultivate
Agriculture,cultivation
Agriculture,manure
Agriculture,harvest
Agriculture,fallow
Corruption,corruption
Education,education
Education,school
Education,textbook
Education,classroom
Education,teach
Education,teacher
Education,book
Education,student
Education,students
Education,instructor
Education,high school
Employment,employment
Employment,work
Employment,job
Employment,jobs
Employment,employed
Employment,unemployed
Employment,unemployment
Employment,salary
Employment,paycheck
Employment,bills
Employment,employer
Health,health
Health,hospital
Health,doctor
Health,vaccine
Health,vaccination
Health,vaccinate
Health,sick
Health,TB
Health,Tuberculosis
Health,disease
Health,diseases
Health,malaria
Health,HIV
Health,AIDS
Health,diarrhea
Health,clinic
Health,doctor
Health,nurse
Health,medicine
Health,prophylaxis
Health,asthma
Infrastructure,instrastructure
Infrastructure,road
Infrastructure,street
Infrastructure,highway
Infrastructure,travel
Infrastructure,drive
Infrastructure,ride
Infrastructure,transportation
Infrastructure,transport
Infrastructure,electricity
Infrastructure,electric
Infrastructure,phone
Infrastructure,telephone
Infrastructure,energy
Infrastructure,bridge
Infrastructure,tunnel
Infrastructure,sidewalk
Infrastructure,bus
Infrastructure,airport
Infrastructure,railway
Infrastructure,ferry
Infrastructure,ferries
Infrastructure,traffic
Infrastructure,traffic light
Infrastructure,street light
Infrastructure,train
Infrastructure,rail
Infrastructure,pipeline
Infrastructure,grid
Infrastructure,internet
Sanitation,sewage
Sanitation,sanitation
Sanitation,garbage
Sanitation,garbage collection
Sanitation,refuse
Sanitation,waste
Sanitation,landfill
Sanitation,recycle
Water,water
Water,clean water
Water,dirty water
Water,drinking water
Water,potable
Water,filtration